Unnamed: 0,question,Intent
1055,"Aku terus-menerus merasa kelelahan karena harus mengerjakan tugas sampai larut malam, aku punya gemetar dan sakit kepala parah, aku mencari dukungan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1056,"Aku benar-benar gugup sendiri gara-gara presentasi depan kelas, aku punya sakit kepala parah dan pusing, aku membutuhkan bantuan profesional untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1057,"Rasa takutnya aku saat mau menghadapi ulang tahun keluarga nanti tuh benar-benar membuatku merasa cemas dan mual, aku butuh bantuan psikologis untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1058,"Aku benar-benar cemas banget gara-gara ujian nanti nanti, aku punya sakit kepala parah dan gemetar, aku membutuhkan bantuan profesional untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1059,"Cemasnya aku saat melihat nilai tes tuh benar-benar membuatku merasa gugup dan mual, aku butuh bantuan konseling untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1060,"Aku benar-benar gugup sendiri gara-gara ujian nanti nanti, aku punya gemetar dan pusing, aku mencari dukungan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1061,"Cemasnya aku saat melihat kondisi politik negara tuh benar-benar membuatku merasa panik dan mual, aku butuh bantuan konseling untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1062,"Aku terus-menerus merasa khawatir banget saat melihat nilai tes, aku punya sakit kepala parah dan sakit kepala parah, aku mencari dukungan profesional untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1063,"Aku benar-benar cemas banget saat menghadapi ulang tahun keluarga nanti, aku punya pusing dan mual, aku membutuhkan bantuan konseling untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1064,"Rasa takutnya aku saat mau menghadapi ujian skripsi tuh benar-benar membuatku merasa gugup dan sakit kepala parah, aku mencari dukungan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1065,"Aku selalu merasa kelelahan karena harus mengerjakan tugas sampai larut malam, aku punya gemetar dan pusing, aku membutuhkan bantuan profesional untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1066,"Aku benar-benar cemas banget saat menghadapi presentasi depan kelas, aku punya gemetar dan sakit kepala parah, aku membutuhkan bantuan profesional untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1067,"Rasa takutnya aku saat mau menghadapi ujian skripsi tuh benar-benar membuatku merasa panik dan gemetar, aku membutuhkan bantuan psikologis untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1068,"Aku benar-benar gugup sendiri gara-gara ulang tahun keluarga nanti, aku punya pusing dan sakit kepala parah, aku membutuhkan bantuan profesional untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1069,"Rasa takutnya aku saat mau menghadapi teman-teman senior di kampus tuh benar-benar membuatku merasa cemas dan mual, aku mencari dukungan profesional untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1070,"Aku selalu merasa khawatir banget saat melihat kondisi politik negara, aku punya pusing dan gemetar, aku membutuhkan bantuan profesional untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1071,"Aku benar-benar gugup sendiri gara-gara ujian nanti nanti, aku punya sakit kepala parah dan mual, aku mencari dukungan psikologis untuk mengatasi rasa cemas ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1072,"Cemasnya aku saat menghadapi teman-teman senior di kampus tuh benar-benar membuatku merasa panik dan sakit kepala parah, aku butuh bantuan psikologis untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1073,"Rasa takutnya aku saat mau menghadapi ulang tahun keluarga nanti tuh benar-benar membuatku merasa cemas dan gemetar, aku mencari dukungan profesional untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1074,"Aku selalu merasa kelelahan karena harus bangun pagi-pagi sekali, aku punya sakit kepala parah dan sakit kepala parah, aku membutuhkan bantuan psikologis untuk mengatasi rasa takut ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1075,"Aku benar-benar cemas banget gara-gara presentasi depan kelas, aku punya pusing dan mual, aku mencari dukungan profesional untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1076,"Aku selalu merasa khawatir banget saat melihat kondisi politik negara, aku punya gemetar dan sakit kepala parah, aku membutuhkan bantuan profesional untuk mengatasi rasa kecemasan ini.",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1077,"Aku lagi pusing banget sih, kayak perlu konseling atau nggak ya aku bisa tahu.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1078,"Aku rasanya lagi kelelahan gitu, kayak perlu bantuan psikologis atau nggak.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1079,"Aku sakit kepala sekali sih, mungkin aku perlu mencari dukungan konseling?",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1080,"Aku lagi merasa tidak stabil, kayak perlu bantuan profesional untuk menenangkan diri.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1081,"Aku merasa sedih banget, kayak perlu konseling atau nggak ya aku bisa bahas perasaanku.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1082,"Aku lagi merasa cemas dan khawatir, kayak perlu bantuan psikologis atau nggak.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1083,"Aku rasanya lagi kekurangan motivasi, kayak perlu konseling atau nggak ya aku bisa temukan semangatnya.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1084,"Aku lagi merasa bingung, kayak perlu bantuan profesional untuk menemukan solusi.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1085,"Aku merasa sedikit depresi, kayak perlu konseling atau nggak ya aku bisa bahas perasaanku.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1086,"Aku lagi merasa tidak tenang, kayak perlu bantuan psikologis atau nggak.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1087,"Aku rasanya lagi kelelahan sekali, kayak perlu konseling atau nggak ya aku bisa temukan energi.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1088,"Aku lagi merasa tidak yakin, kayak perlu bantuan profesional untuk menemukan kepastian.",Menyatakan Perasaan Percaya; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1089,"Aku gak peduli sama guru itu, aku nggak bisa menerima bimbingannya dan rasanya aku makin pusing kalau harus ke kelas.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1090,"Aku sakit kepala banget dan aku harus ke dokter, tapi aku juga enggak suka ke sana karena aku jijik sama dokter itu.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1091,"Aku nggak bisa makan nasi goreng lagi, aku makin mual dan aku butuh bantuan psikologis agar aku bisa makan lagi.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1092,"Aku mau minta konseling sama kakak konseling, aku nggak bisa lagi ngeluh karena aku jatuh ke tanah dan aku sakit kepala banget.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1093,"Aku rasanya mau meludahnya, guru itu sangat kasar dan aku makin pusing karena itu.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1094,"Aku butuh bantuan profesional karena aku gak bisa lagi tidur karena aku selalu bermimpi tentang guru itu, dan aku makin capek karena itu.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1095,Aku jauh banget dengan teman-teman aku karena aku nggak bisa lagi main bersama mereka karena aku terus sakit.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1096,Aku gak suka ke sekolah lagi karena aku selalu kelelahan dan aku makin pusing kalau harus ke kelas.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1097,Aku mau minta bantuan konselor karena aku nggak bisa lagi menghadapi kehidupan kuliah aku.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1098,Aku makin sakit kepala banget karena aku jatuh ke tangga dan aku gak bisa lagi berjalan sendiri.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1099,Aku mau minta dukungan psikologis agar aku bisa keluar dari kecemasan aku.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1100,Aku makin mual karena aku makan makanan yang salah dan aku butuh bantuan profesional untuk mengobatinya.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1101,Aku nggak bisa lagi bermain basket karena aku terus sakit pinggang dan aku makin capek karena itu.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1102,Aku mau minta bantuan psikologis karena aku gak bisa lagi menghadapi tekanan aku dalam kuliah.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1103,Aku makin pusing karena aku terus kelelahan dan aku mau minta bantuan konselor untuk itu.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1104,Aku mau melarikan diri dari sekolah itu karena aku gak bisa lagi ngeluh karena guru itu kasar banget.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1105,Aku gak bisa lagi makan nasi goreng karena aku makin mual dan aku mau minta bantuan psikologis.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1106,Aku makin sakit kepala banget karena aku terus sakit kepala dan aku mau minta bantuan profesional.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1107,"Aku nggak bisa lagi tidur karena aku selalu bermimpi tentang guru itu, dan aku makin capek karena itu.",Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1108,Aku mau melarikan diri dari sekolah itu karena aku makin pusing dengan guru itu.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1109,Aku gak bisa lagi bermain dengan teman-teman aku karena aku terus sakit dan aku makin pusing karena itu.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1110,Aku mau minta bantuan psikologis agar aku bisa menghadapi kehidupan kuliah aku.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1111,Aku mau minta dukungan psikologis agar aku bisa menghadapi tekanan aku.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1112,Aku makin sakit kepala banget karena aku jatuh ke tanah dan aku mau minta bantuan profesional.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1113,Aku mau minta bantuan konselor untuk menghadapi kecemasan aku.,Menyatakan Perasaan Benci dan Jijik; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1114,Aku selalu merasa takut kalau lulus bukanlah seseorang yang sukses,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1115,Aku khawatir aku tidak bisa menyelesaikan tugas kuliah,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1116,Aku cemas kalau aku tidak memenuhi target nilai,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1117,Kali ini aku benar-benar panik karena tes hari ini,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1118,Aku gugup saat harus presentasi di depan kelas,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1119,Aku merasa terancam karena aku tidak bisa membayar uang kuliah,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1120,Aku sangat kelelahan karena harus belajar nonstop setiap hari,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1121,Aku mual kalau aku harus makan makanan yang tidak aku inginkan,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1122,Aku merasa sakit kepala karena aku terlalu sering menggunakan laptop,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1123,Aku pusing kalau aku harus mengerti materi yang sulit,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1124,Aku sedang mencari dukungan psikologis karena aku merasa sedih,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1125,Aku membutuhkan bantuan konseling karena aku merasa tidak ada tujuan hidup,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1126,Aku mencari bantuan profesional karena aku merasa kelelahan,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1127,"Kak, aku sakit badan banget karena aku terlalu sering belajar",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1128,Aku merasa gemetar saat harus menghadapi wawancara kerja,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1129,Aku tidak bisa tidur karena aku pikir terlalu banyak hal,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1130,Aku merasa tidak bisa mengendalikan stres akibat pekerjaan,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1131,Aku butuh bantuan karena aku sulit mengelola waktu,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1132,Aku sedang kelelahan karena aku terlalu sering bekerja,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1133,Aku mungkin butuh bantuan karena aku mengalami depresi,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1134,Aku tidak bisa mengatasi rasa cemas tentang masa depan,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1135,Aku sedang merasa tidak stabil emosional,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1136,Aku sedang membutuhkan bantuan karena aku merasa tidak ada kemampuan,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1137,Aku mencari dukungan karena aku sedang mengandung,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1138,Aku merasa sedih karena aku tidak bisa menemukan pekerjaan,Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
1139,"Kak, aku sakit otot karena aku terlalu sering berolahraga",Menyatakan Perasaan Takut dan Kecemasan; Mengisyaratkan Gejala Fisik; Mengisyaratkan Butuh Bantuan Profesional
